,OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION,location,latlons,lat,lon
0,1,FALL CREEK,SISKIYOU,2.2,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=.5, 2=.05, 3=1.2",9/1/03,HORNBROOK,CA,96044,KLAMATH RIVER,"JENNY CREEK, KLAMATH RIVER",PACIFICORP,768.8168335,HORNBROOK+CA,"[-122.5558584, 41.9101394]",41.9101394,-122.5558584
1,2,COPCO 1,SISKIYOU,20.0,HYDROELECTRIC,HYDRO,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,"11=10, 12=10",1/1/18,MONTAGUE,CA,96044,KLAMATH RIVER,"KLAMATH RIVER,COPCO RESERVOIR",PACIFICORP,770.5079346,MONTAGUE+CA,"[-122.5278007, 41.7281985]",41.7281985,-122.5278007
2,3,COPCO 2,SISKIYOU,27.0,HYDROELECTRIC,HYDRO,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,"1=13.5, 2=13.5",7/1/25,MONTAGUE,CA,96044,KLAMATH RIVER,"KLAMATH RIVER,COPCO RESERVOIR",PACIFICORP,715.8789062999999,MONTAGUE+CA,"[-122.5278007, 41.7281985]",41.7281985,-122.5278007
3,4,IRON GATE,SISKIYOU,18.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/1/62,HORNBROOK,CA,96044,KLAMATH RIVER,KLAMATH RIVER,PACIFICORP,667.5818481000001,HORNBROOK+CA,"[-122.5558584, 41.9101394]",41.9101394,-122.5558584
4,5,PRATHER CREEK,SISKIYOU,0.1,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,7/1/83,MACDOEL,CA,96058,SHASTA RIVER,"PRATHER CREEK, LOWER SHASTA RIVER",TKO POWER,1299.8410645,MACDOEL+CA,"[-122.0052851, 41.8268154]",41.8268154,-122.0052851
5,7,SHASTA RIVER,SISKIYOU,0.1,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,3/1/84,MONTAGUE,CA,96064,SHASTA RIVER,SHASTA RIVER,DEWEY B. SMITH,744.2374267999999,MONTAGUE+CA,"[-122.5278007, 41.7281985]",41.7281985,-122.5278007
6,10,ROSEBURG FOREST PRODUCTS,SISKIYOU,13.39,WTE,BIOMASS,BIOMASS,STEAM TURBINE,OPERATIONAL,,1/1/11,WEED,CA,96094,,,,1076.9689941,WEED+CA,"[-122.3861269, 41.42264979999999]",41.42264979999999,-122.3861269
7,11,BOX CANYON,SISKIYOU,5.0,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,11/1/86,SISKIYOU,CA,96025,SACRAMENTO RIVER,SACRAMENTO RIVER,SYNERGICS INC.,979.8510132000001,SISKIYOU+CA,"[-122.5770126, 41.7743261]",41.7743261,-122.5770126
8,13,PIT 1,SHASTA,63.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=32, 2=32",9/1/22,FALL RIVER MILL,CA,96028,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,1010.4071654999999,FALL RIVER MILL+CA,"[-121.761676, 40.8507262]",40.8507262,-121.761676
9,14,PIT 3,SHASTA,69.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=24, 2=26, 3=25",7/1/25,BURNEY,CA,96013,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,754.7838745,BURNEY+CA,"[-121.6608205, 40.8823811]",40.8823811,-121.6608205
10,15,NELSON CREEK,SHASTA,1.2,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/19/88,BIG BEND,CA,96011,PIT RIVER,"NELSON CREEK, PIT RIVER",NELSON CREEK POWER INC,623.9967041,BIG BEND+CA,"[-121.911107, 41.0207132]",41.0207132,-121.911107
