,PLANT_NAME,ONLINE_MW,FACILITY,PRIMARY_FUEL,TECHNOLOGY,STATUS,location,lat,lon
0,FALL CREEK,2.2,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,HORNBROOK+CA,41.9101394,-122.5558584
1,COPCO 1,20.0,HYDROELECTRIC,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,MONTAGUE+CA,41.7281985,-122.5278007
2,COPCO 2,27.0,HYDROELECTRIC,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,MONTAGUE+CA,41.7281985,-122.5278007
3,IRON GATE,18.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,HORNBROOK+CA,41.9101394,-122.5558584
4,PRATHER CREEK,0.1,HYDROELECTRIC,WATER,,OPERATIONAL,MACDOEL+CA,41.8268154,-122.0052851
5,SHASTA RIVER,0.1,HYDROELECTRIC,WATER,,OPERATIONAL,MONTAGUE+CA,41.7281985,-122.5278007
6,ROSEBURG FOREST PRODUCTS,13.39,WTE,BIOMASS,STEAM TURBINE,OPERATIONAL,WEED+CA,41.42264979999999,-122.3861269
7,BOX CANYON,5.0,HYDROELECTRIC,WATER,,OPERATIONAL,SISKIYOU+CA,41.7743261,-122.5770126
8,PIT 1,63.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FALL RIVER MILL+CA,40.8507262,-121.761676
9,PIT 3,69.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BURNEY+CA,40.8823811,-121.6608205
10,NELSON CREEK,1.2,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BIG BEND+CA,41.0207132,-121.911107
11,JAMES B  BLACK,172.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MONTGOMERY CREEK+CA,40.8415447,-121.9236074
12,MEGA RENEWABLES (SILVER SPRINGS),0.6,HYDROELECTRIC,WATER,,OPERATIONAL,BIG BEND+CA,41.0207132,-121.911107
13,PIT 4,95.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MONTGOMERY CREEK+CA,40.8415447,-121.9236074
14,PIT 5,160.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MONTGOMERY CREEK+CA,40.8415447,-121.9236074
15,SLATE CREEK,4.2,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,LAKEHEAD+CA,40.90515,-122.3791777
16,HAT CREEK 2,9.9,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,CASSEL+CA,40.9170121,-121.5571089
17,HAT CREEK 1,9.9,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,CASSEL+CA,40.9170121,-121.5571089
18,PIT 6,80.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MONTGOMERY CREEK+CA,40.8415447,-121.9236074
19,HATCHET RIDGE,101.2,WIND,WIND,WIND TURBINE,OPERATIONAL,BURNEY+CA,40.8823811,-121.6608205
20,PAN PACIFIC (WEBER FLAT),0.98,HYDROELECTRIC,WATER,,OPERATIONAL,COVINGTON MILL+CA,40.368749,-122.212362
21,PIT 7,112.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MONTGOMERY CREEK+CA,40.8415447,-121.9236074
22,HUMBOLDT BAY GEN STATION REPOWER,15.0,WTE,WOODWASTE,DIRECT COMBUSTION,OPERATIONAL,SAMOA+CA,40.8187372,-124.1864518
23,TRINITY,140.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,REDDING+CA,40.5865396,-122.3916754
24,CEDAR FLAT,0.3,HYDROELECTRIC,WATER,,OPERATIONAL,BURNT RANCH+CA,40.810556,-123.479444
25,LEWISTON,0.35,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,FRENCH GULCH+CA,40.7007031,-122.6383512
26,SHASTA,629.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,REDDING+CA,40.5865396,-122.3916754
27,T&G,0.34,HYDROELECTRIC,WATER,,OPERATIONAL,WHITMORE+CA,40.62932199999999,-121.9166612
28,KILARC,3.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,WHITMORE+CA,40.62932199999999,-121.9166612
29,OLSEN POWER,5.0,HYDROELECTRIC,WATER,,OPERATIONAL,WHITMORE+CA,40.62932199999999,-121.9166612
30,KNAUF INSULATION,15.0,OIL/GAS,NATURAL GAS,,OPERATIONAL,SHASTA LAKE+CA,40.6804279,-122.3708419
31,JUDGE FRANCIS CARR,154.4,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,LEWISTON+CA,40.6989943,-122.8080663
32,SPRING CREEK,180.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,REDDING+CA,40.5865396,-122.3916754
33,KESWICK,117.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,REDDING+CA,40.5865396,-122.3916754
34,WHISKEYTOWN,3.5,HYDROELECTRIC,WATER,,OPERATIONAL,REDDING+CA,40.5865396,-122.3916754
35,COW CREEK,1.44,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MILLVILLE+CA,40.5767907,-122.1193384
36,STEVE & BONNIE TETRICK,0.1,HYDROELECTRIC,WATER,,OPERATIONAL,MILLVILLE+CA,40.5767907,-122.1193384
37,BEAR CREEK,3.2,HYDROELECTRIC,WATER,,OPERATIONAL,SHINGLETOWN+CA,40.4923784,-121.8891586
38,BAKER CREEK,1.5,HYDROELECTRIC,WATER,,OPERATIONAL,BRIDGEVILLE+CA,40.4693064,-123.7997628
39,REDDING POWER,141.0,OIL/GAS,NATURAL GAS,"STEAM TURBINE, COMBUSTION TURBINE",OPERATIONAL,REDDING+CA,40.5865396,-122.3916754
40,VOLTA 1,8.55,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MANTON+CA,40.4351568,-121.8699903
41,SUTTER'S MILL,0.15,HYDROELECTRIC,WATER,,OPERATIONAL,SHINGLETOWN+CA,40.4923784,-121.8891586
42,VOLTA 2,1.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MANTON+CA,40.4351568,-121.8699903
43,COLEMAN,13.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,ANDERSON+CA,40.448208,-122.2977815
44,INSKIP,7.65,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,PAYNES CREEK+CA,40.3345717,-121.9143734
45,SOUTH,6.75,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,MANTON+CA,40.4351568,-121.8699903
46,GOSSELIN,2.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,RUTH+CA,40.2695914,-123.3214139
47,HAMILTON BRANCH,4.8,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,WESTWOOD+CA,34.0635016,-118.4455164
48,THREE FORKS,1.3,HYDROELECTRIC,WATER,,OPERATIONAL,ZENIA+CA,40.2054245,-123.4919716
49,BUTT VALLEY,40.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BELDEN+CA,40.00599709999999,-121.2491316
50,WALMART - RED BLUFF,1.0,WIND,WIND,WIND TURBINE,OPERATIONAL,RED BLUFF+CA,40.1784886,-122.2358302
51,CARIBOU 2,120.0,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,BELDEN+CA,40.00599709999999,-121.2491316
