,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
0,IL,Macon,Tate & Lyle Decatur Plant Cogen,OP,62.0,BIT,1,1989
1,IN,Tippecanoe,Sagamore Plant Cogeneration,OP,7.4,BIT,10,1984
2,OK,Leflore,AES Shady Point LLC,OP,175.0,BIT,9,1990
3,OK,Leflore,AES Shady Point LLC,OP,175.0,BIT,11,1990
4,NY,Yates,AES Greenidge LLC,OP,112.5,BIT,12,1953
5,MD,Allegany,AES Warrior Run Cogeneration Facility,OP,229.0,BIT,8,1999
6,CT,New London,AES Thames,OS,213.9,BIT,11,1989
7,CA,San Bernardino,ACE Cogeneration Facility,OP,108.0,BIT,9,1990
8,IA,Wright,AG Processing Inc,OP,8.5,SUB,1,1982
9,PA,Beaver,AES Beaver Valley Partners Beaver Valley,OP,35.0,BIT,7,1987
10,PA,Beaver,AES Beaver Valley Partners Beaver Valley,OP,114.0,BIT,7,1987
11,HI,Oahu,AES Hawaii,OP,203.0,BIT,5,1992
12,AL,Washington,Charles R Lowman,OP,66.0,BIT,6,1969
13,AL,Washington,Charles R Lowman,OP,236.0,BIT,6,1978
14,AL,Washington,Charles R Lowman,OP,236.0,BIT,6,1980
15,AL,Mobile,Barry,OP,153.1,BIT,2,1954
16,AL,Mobile,Barry,OP,153.1,BIT,7,1954
17,AL,Mobile,Barry,OP,272.0,BIT,7,1959
18,AL,Mobile,Barry,OP,403.7,BIT,12,1969
19,AL,Mobile,Barry,OP,788.8,BIT,10,1971
20,AL,Etowah,Gadsden,OP,69.0,BIT,4,1949
21,AL,Etowah,Gadsden,OP,69.0,BIT,7,1949
22,AL,Walker,Gorgas,OP,788.8,BIT,10,1972
23,AL,Walker,Gorgas,OP,125.0,BIT,4,1951
24,AL,Walker,Gorgas,OP,125.0,BIT,7,1952
25,AL,Walker,Gorgas,OP,187.5,BIT,5,1956
26,AL,Walker,Gorgas,OP,190.4,BIT,6,1958
27,AL,Greene,Greene County,OP,299.2,BIT,6,1965
28,AL,Greene,Greene County,OP,269.2,BIT,7,1966
29,AL,Shelby,E C Gaston,OP,272.0,BIT,5,1960
30,AL,Shelby,E C Gaston,OP,272.0,BIT,7,1960
31,AL,Shelby,E C Gaston,OP,272.0,BIT,6,1961
32,AL,Shelby,E C Gaston,OP,952.0,BIT,8,1974
33,AL,Shelby,E C Gaston,OP,244.8,BIT,6,1962
34,AL,Jefferson,James H Miller Jr,OP,705.5,SUB,10,1978
35,AL,Jefferson,James H Miller Jr,OP,705.5,SUB,5,1985
36,AL,Jefferson,James H Miller Jr,OP,705.5,SUB,5,1989
37,AL,Jefferson,James H Miller Jr,OP,705.5,SUB,3,1991
38,IN,Warrick,Warrick,OP,166.6,BIT,4,1960
39,IN,Warrick,Warrick,OP,144.0,BIT,1,1964
40,IN,Warrick,Warrick,OP,144.0,BIT,10,1965
41,IN,Warrick,Warrick,OP,323.0,BIT,10,1970
42,CA,San Joaquin,Stockton Cogen,OP,60.0,BIT,3,1988
43,ID,Twin Falls,Amalgamated Sugar Twin Falls,OP,1.5,BIT,12,1948
44,ID,Twin Falls,Amalgamated Sugar Twin Falls,OP,2.5,BIT,12,1948
45,ID,Twin Falls,Amalgamated Sugar Twin Falls,OP,6.2,BIT,9,1994
46,ND,Traill,American Crystal Sugar Hillsboro,OP,13.3,SUB,9,1990
47,MN,Clay,American Crystal Sugar Moorhead,OP,3.0,SUB,9,1948
48,MN,Clay,American Crystal Sugar Moorhead,OP,2.0,SUB,9,1961
49,MN,Polk,American Crystal Sugar Crookston,OP,3.5,SUB,9,1954
50,MN,Polk,American Crystal Sugar Crookston,OP,3.0,SUB,9,1975
51,ND,Pembina,American Crystal Sugar Drayton,OP,6.0,SUB,9,1965
52,MN,Polk,American Crystal Sugar East Grand Forks,OP,2.5,SUB,9,1990
