"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),2007 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,,,,
"Arkansas Nuclear One, Unit 1",Arkansas Nuclear 1,05000313,"London, AR (6 MI WNW of Russellville,  AR)",4,"Entergy Operations, Inc.",PWR-DRYAMB,B&W LLP,BECH,BECH,12/6/68,5/21/74,12/19/74,6/20/01,5/20/34,2568,,102%,87%,90%,99%,83%,94%,,78%,92%,92%,,,,,
"Arkansas Nuclear One, Unit 2",Arkansas Nuclear 2,05000368,"London, AR (6 MI WNW of Russellville,  AR)",4,"Entergy Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,12/6/72,9/1/78,3/26/80,6/30/05,7/17/38,3026,,93%,90%,97%,90%,91%,99%,,91%,99%,90%,,,,,
"Beaver Valley Power Station, Unit 1",Beaver Valley 1,05000334,"Shippingport, PA(17 MI W of McCandless,  PA)",1,First Energy Nuclear Operating Co.,PWR-DRYAMB,WEST 3LP,S&W,S&W,6/26/70,7/2/76,10/1/76,11/5/09,1/29/36,2900,,92%,101%,91%,92%,101%,95%,,101%,93%,83%,,,,,
"Beaver Valley Power Station, Unit 2",Beaver Valley 2,05000412,"Shippingport, PA (17 MI W of McCandless,  PA)",1,First Energy Nuclear Operating Co.,PWR-DRYAMB,WEST 3LP,S&W,S&W,5/3/74,8/14/87,11/17/87,11/5/09,5/27/47,2900,,91%,102%,84%,87%,103%,87%,,93%,100%,91%,,,,,
"Braidwood Station, Unit 1",Braidwood 1,05000456,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,7/2/87,7/29/88,N/A,10/17/26,3586.6,,91%,101%,89%,95%,101%,92%,,100%,95%,97%,,,,,
"Braidwood Station, Unit 2",Braidwood 2,05000457,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,5/20/88,10/17/88,N/A,12/18/27,3586.6,,93%,93%,99%,93%,92%,100%,,94%,101%,96%,,,,,
"Browns Ferry Nuclear Plant, Unit 1",Browns Ferry 1,05000259,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,5/10/67,12/20/73,8/1/74,5/4/06,12/20/33,3458,,88%,91%,86%,94%,88%,49%,,,,,,,,,
"Browns Ferry Nuclear Plant, Unit 2",Browns Ferry 2,05000260,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,5/10/67,6/28/74,3/1/75,5/4/06,6/28/34,3458,,99%,80%,91%,94%,98%,78%,,90%,100%,86%,,,,,
"Browns Ferry Nuclear Plant, Unit 3",Browns Ferry 3,05000296,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,7/31/68,7/2/76,3/1/77,5/4/06,7/2/36,3458,,83%,87%,81%,95%,81%,93%,,94%,89%,96%,,,,,
"Brunswick Steam Electric Plant, Unit 1",Brunswick 1,05000325,"Southport, NC (20 MI S of Wilmington, NC)",2,Carolina Power & Light Co.,BWR-MARK 1,GE 4,UE&C,BRRT,2/7/70,9/8/76,3/18/77,6/26/06,9/8/36,2923,,77%,100%,83%,98%,85%,96%,,94%,86%,101%,,,,,
"Brunswick Steam Electric Plant, Unit 2",Brunswick 2,05000324,"Southport, NC (20 MI S of Wilmington, NC)",2,Carolina Power & Light Co.,BWR-MARK 1,GE 4,UE&C,BRRT,2/7/70,12/27/74,11/3/75,6/26/06,12/27/34,2923,,98%,79%,99%,80%,95%,87%,,86%,98%,99%,,,,,
"Byron Station, Unit 1",Byron 1,05000454,"Byron, Il (17 MI SW of Rockford,  IL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,2/14/85,9/16/85,N/A,10/31/24,3586.6,,88%,88%,101%,94%,95%,98%,,94%,102%,94%,,,,,
"Byron Station, Unit 2",Byron 2,05000455,"Byron, Il (17 MI SW of Rockford,  IL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,1/30/87,8/2/87,N/A,11/6/26,3586.6,,94%,93%,96%,102%,96%,89%,,96%,96%,101%,,,,,
