OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION
1,FALL CREEK,SISKIYOU,2.20,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=.5, 2=.05, 3=1.2",9/1/03,HORNBROOK,CA,96044,KLAMATH RIVER,"JENNY CREEK, KLAMATH RIVER",PACIFICORP,768.8168335
2,COPCO 1,SISKIYOU,20.00,HYDROELECTRIC,HYDRO,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,"11=10, 12=10",1/1/18,MONTAGUE,CA,96044,KLAMATH RIVER,"KLAMATH RIVER,COPCO RESERVOIR",PACIFICORP,770.5079346
3,COPCO 2,SISKIYOU,27.00,HYDROELECTRIC,HYDRO,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,"1=13.5, 2=13.5",7/1/25,MONTAGUE,CA,96044,KLAMATH RIVER,"KLAMATH RIVER,COPCO RESERVOIR",PACIFICORP,715.8789063
4,IRON GATE,SISKIYOU,18.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/1/62,HORNBROOK,CA,96044,KLAMATH RIVER,KLAMATH RIVER,PACIFICORP,667.5818481
5,PRATHER CREEK,SISKIYOU,0.10,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,7/1/83,MACDOEL,CA,96058,SHASTA RIVER,"PRATHER CREEK, LOWER SHASTA RIVER",TKO POWER,1299.8410645
7,SHASTA RIVER,SISKIYOU,0.10,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,3/1/84,MONTAGUE,CA,96064,SHASTA RIVER,SHASTA RIVER,DEWEY B. SMITH,744.2374268
10,ROSEBURG FOREST PRODUCTS,SISKIYOU,13.39,WTE,BIOMASS,BIOMASS,STEAM TURBINE,OPERATIONAL,,1/1/11,WEED,CA,96094,,,,1076.9689941
11,BOX CANYON,SISKIYOU,5.00,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,11/1/86,SISKIYOU,CA,96025,SACRAMENTO RIVER,SACRAMENTO RIVER,SYNERGICS INC.,979.8510132
13,PIT 1,SHASTA,63.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=32, 2=32",9/1/22,FALL RIVER MILL,CA,96028,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,1010.4071655
14,PIT 3,SHASTA,69.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=24, 2=26, 3=25",7/1/25,BURNEY,CA,96013,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,754.7838745
15,NELSON CREEK,SHASTA,1.20,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/19/88,BIG BEND,CA,96011,PIT RIVER,"NELSON CREEK, PIT RIVER",NELSON CREEK POWER INC,623.9967041
16,JAMES B  BLACK,SHASTA,172.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=85, 2=84.1",12/1/65,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,437.3414612
17,MEGA RENEWABLES (SILVER SPRINGS),SHASTA,0.60,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,8/15/87,BIG BEND,CA,96011,PIT RIVER,"SILVER SPRINGS, PIT RIVER",MEGA RENEWABLES,470.8885498
18,PIT 4,SHASTA,95.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=55, 2=47",6/1/55,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,632.4794922
19,PIT 5,SHASTA,160.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=41, 2=41, 3=41, 4=41",4/1/44,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,436.4150696
21,SLATE CREEK,SHASTA,4.20,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/1/84,LAKEHEAD,CA,96051,SACRAMENTO RIVER,"SLATE CREEK, SACRAMENTO RIVER",CATALYST STATE CREEK HYDRO PARTNERSHIP,458.5038757
22,HAT CREEK 2,SHASTA,9.90,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,9/1/21,CASSEL,CA,96016,PIT RIVER,"HAT CREEK, PIT RIVER",PACIFIC GAS & ELECTRIC,851.5488281
24,HAT CREEK 1,SHASTA,9.90,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,8/1/21,CASSEL,CA,96016,PIT RIVER,"HAT CREEK, PIT RIVER",PACIFIC GAS & ELECTRIC,971.2404175
25,PIT 6,SHASTA,80.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=39, 2=40",5/1/65,MONTGOMERY CREEK,CA,96065,PIT RIVER,"PIT RIVER, N.E. OF LAKE SHASTA",PACIFIC GAS & ELECTRIC,399.4580383
35,HATCHET RIDGE,SHASTA,101.20,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,2.3,11/19/10,BURNEY,CA,96013,,,,1608.2174072
39,PAN PACIFIC (WEBER FLAT),TRINITY,0.98,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/11/84,COVINGTON MILL,CA,96091,,WEST FORK TRINITY ALPS CREEK,PAN PACIFIC HYDRO INC,770.6168213
40,PIT 7,SHASTA,112.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=55.7, 2=54.6",6/1/65,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,387.0844727
44,HUMBOLDT BAY GEN STATION REPOWER,HUMBOLDT,15.00,WTE,BIOMASS,WOODWASTE,DIRECT COMBUSTION,OPERATIONAL,,9/15/86,SAMOA,CA,95564,,,NEPCO,7.1141415
45,TRINITY,TRINITY,140.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1 = 70,  2 = 70",12/1/64,REDDING,CA,96003,TRINITY RIVER,"TRINITY RIVER, CLAIR ENGLE LAKE",USBR,583.1295166
48,CEDAR FLAT,TRINITY,0.30,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/9/84,BURNT RANCH,CA,95527,,"CEDER FLAT CREEK, MILL CREEK, TRINITY RIVER",BC HYDRO INC,306.7706299
55,LEWISTON,TRINITY,0.35,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/1/64,FRENCH GULCH,CA,96003,TRINITY RIVER,TRINITY RIVER,USBR,584.8352051
56,SHASTA,SHASTA,629.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=125, 2=125, 3=142, 4=142, 5=142",6/1/44,REDDING,CA,96003,SHASTA DAM,"SACRAMENTO RIVER, LAKE SHASTA",USBR,188.3874207
58,T&G,SHASTA,0.34,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,10/15/84,WHITMORE,CA,96062,,"CANYON CREEK, OLD COW CREEK",T & G HYDRO,923.8295898
60,KILARC,SHASTA,3.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 - #2 = /1.5,10/1/03,WHITMORE,CA,96096,WHITMORE,"OLD COW CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,791.1243896
62,OLSEN POWER,SHASTA,5.00,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/3/90,WHITMORE,CA,96062,SACRAMENTO RIVER,"OLD COW CREEK, COW CREEK, SACRAMENTO RIVER",OLSEN POWER PTNS,722.8634033
63,KNAUF INSULATION,SHASTA,15.00,OIL/GAS,OIL/GAS,NATURAL GAS,,OPERATIONAL,,1/1/02,SHASTA LAKE,CA,96019,,,,220.7573853
65,JUDGE FRANCIS CARR,SHASTA,154.40,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=77.24, 2=77.2",5/1/63,LEWISTON,CA,96052,SHASTA BALLY,TRINITY RIVER DIVERSION TO SACRAMENTO RIVER,USBR,373.2532959
