,Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Algeria,Uranium - reasonably assured reserves,2008.0,Metric Tons,19500.0,
1,Algeria,Uranium - reasonably assured reserves,2007.0,Metric Tons,19500.0,
2,Algeria,Uranium - reasonably assured reserves,2003.0,Metric Tons,19500.0,
3,Algeria,Uranium - reasonably assured reserves,1997.0,Metric Tons,25000.0,
4,Algeria,Uranium - reasonably assured reserves,1993.0,Metric Tons,26000.0,
5,Argentina,Uranium - production,2010.0,Metric Tons,0.0,
6,Argentina,Uranium - production,2009.0,Metric Tons,0.0,
7,Argentina,Uranium - production,2008.0,Metric Tons,0.0,
8,Argentina,Uranium - production,2007.0,Metric Tons,0.0,
9,Argentina,Uranium - production,2006.0,Metric Tons,0.0,
10,Argentina,Uranium - production,2005.0,Metric Tons,0.0,
11,Argentina,Uranium - production,2004.0,Metric Tons,1.0,
12,Argentina,Uranium - production,2003.0,Metric Tons,0.0,
13,Argentina,Uranium - production,2002.0,Metric Tons,0.0,
14,Argentina,Uranium - production,1998.0,Metric Tons,7.0,
15,Argentina,Uranium - production,1997.0,Metric Tons,30.0,
16,Argentina,Uranium - production,1996.0,Metric Tons,16.0,
17,Argentina,Uranium - production,1995.0,Metric Tons,65.0,
18,Argentina,Uranium - production,1994.0,Metric Tons,79.0,
19,Argentina,Uranium - production,1993.0,Metric Tons,126.0,
20,Argentina,Uranium - production,1992.0,Metric Tons,123.0,
21,Argentina,Uranium - production,1991.0,Metric Tons,18.0,
22,Argentina,Uranium - production,1990.0,Metric Tons,9.0,
23,Argentina,Uranium - reasonably assured reserves,2008.0,Metric Tons,10400.0,
24,Argentina,Uranium - reasonably assured reserves,2007.0,Metric Tons,9000.0,
25,Argentina,Uranium - reasonably assured reserves,2005.0,Metric Tons,7100.0,
26,Argentina,Uranium - reasonably assured reserves,2003.0,Metric Tons,7080.0,
27,Argentina,Uranium - reasonably assured reserves,1997.0,Metric Tons,8800.0,
28,Argentina,Uranium - reasonably assured reserves,1993.0,Metric Tons,7300.0,
29,Argentina,Uranium - reasonably assured reserves,1990.0,Metric Tons,2190.0,
30,Argentina,Uranium - estimated additional reserves,2008.0,Metric Tons,8700.0,
31,Argentina,Uranium - estimated additional reserves,2005.0,Metric Tons,8600.0,
32,Argentina,Uranium - estimated additional reserves,2003.0,Metric Tons,8560.0,
33,Argentina,Uranium - estimated additional reserves,1997.0,Metric Tons,3100.0,
34,Argentina,Uranium - estimated additional reserves,1993.0,Metric Tons,2600.0,
35,Argentina,Uranium - estimated additional reserves,1990.0,Metric Tons,2490.0,
36,Australia,Uranium - production,2010.0,Metric Tons,5918.0,
37,Australia,Uranium - production,2009.0,Metric Tons,7934.0,
38,Australia,Uranium - production,2008.0,Metric Tons,8433.0,
39,Australia,Uranium - production,2007.0,Metric Tons,8602.0,
40,Australia,Uranium - production,2006.0,Metric Tons,7593.0,
41,Australia,Uranium - production,2005.0,Metric Tons,9512.0,
42,Australia,Uranium - production,2004.0,Metric Tons,8982.0,
43,Australia,Uranium - production,2003.0,Metric Tons,7573.0,
44,Australia,Uranium - production,2002.0,Metric Tons,6854.0,
45,Australia,Uranium - production,2001.0,Metric Tons,7720.0,
46,Australia,Uranium - production,2000.0,Metric Tons,7579.0,
47,Australia,Uranium - production,1999.0,Metric Tons,5984.0,
48,Australia,Uranium - production,1998.0,Metric Tons,4894.0,
49,Australia,Uranium - production,1997.0,Metric Tons,5488.0,
