lat,lon,magnitude
2.433,93.210,7.2
-17.827,167.133,7.1
16.493,-98.231,7.4
-35.200,-72.217,7.1
2.327,93.063,8.6
0.802,92.463,8.2
28.696,-113.106,7.0
49.784,145.126,7.7
12.139,-88.590,7.3
10.819,126.627,7.6
10.099,-85.308,7.6
1.929,-76.362,7.3
52.769,-131.927,7.7
13.977,-91.876,7.4
37.89,144.09,7.3
-6.52,129.81,7.1
55.29,-134.73,7.7
-10.75,165.09,8.0
-10.48,165.77,7.0
-10.93,165.87,7.1
-11.25,164.93,7.1
-10.91,165.96,7.0
1.14,-77.36,7.0
-3.53,138.46,7.1
28.06,62.08,7.8
46.18,150.80,7.2
18.75,145.26,7.0
-23.03,-177.11,7.4
54.87,153.33,8.2
-3.94,153.88,7.2
,,
