State,County,Entity ID,Entity,Facility ID,Plant Name,Generator ID,Unit Code,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Prime Mover,Primary Energy Source,Secondary Energy Source,Initial Month of Operation,Initial Year of Operation
IL,Macon,7,Tate & Lyle Ingredients Americas Inc,10867,Tate & Lyle Decatur Plant Cogen,GEN1,,OP,62,58.1,62,311,ST,BIT,,1,1989
IN,Tippecanoe,8,Tate & Lyle Ingredients Americas Inc,50903,Sagamore Plant Cogeneration,GEN1,,OP,7.4,7.4,7.4,311,ST,BIT,,10,1984
OK,Leflore,21,AES Shady Point LLC,10671,AES Shady Point LLC,GEN1,,OP,175,160,160,22,ST,BIT,SUB,9,1990
OK,Leflore,21,AES Shady Point LLC,10671,AES Shady Point LLC,GEN2,,OP,175,160,160,22,ST,BIT,SUB,11,1990
NY,Yates,25,AES Greenidge,2527,AES Greenidge LLC,4,,OP,112.5,107.5,106.3,22,ST,BIT,WDS,12,1953
MD,Allegany,35,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,GEN1,,OP,229,180,180,22,ST,BIT,DFO,8,1999
CT,New London,42,AES Thames LLC,10675,AES Thames,GEN1,,OS,213.9,181,181,22,ST,BIT,,11,1989
CA,San Bernardino,52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,GEN1,,OP,108,101.2,101.5,22,ST,BIT,PC,9,1990
IA,Wright,109,Ag Processing Inc,10223,AG Processing Inc,E.C.,,OP,8.5,8.5,8.5,311,ST,SUB,,1,1982
PA,Beaver,142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,GEN2,,OP,35,32,31.5,22,ST,BIT,PC,7,1987
PA,Beaver,142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,GEN3,,OP,114,114,120,22,ST,BIT,PC,7,1987
HI,Oahu,177,AES Hawaii Inc,10673,AES Hawaii,GEN1,,OP,203,180,180,22,ST,BIT,WO,5,1992
AL,Washington,189,PowerSouth Energy Cooperative,56,Charles R Lowman,1,,OP,66,80,80,22,ST,BIT,,6,1969
AL,Washington,189,PowerSouth Energy Cooperative,56,Charles R Lowman,2,,OP,236,235,235,22,ST,BIT,,6,1978
AL,Washington,189,PowerSouth Energy Cooperative,56,Charles R Lowman,3,,OP,236,235,235,22,ST,BIT,,6,1980
