,State,County,Entity,Facility ID,Plant Name,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Primary Energy Source,Secondary Energy Source,Initial Year of Operation,location,latlons,lat,lon
0,IL,Macon,Tate & Lyle Ingredients Americas Inc,10867,Tate & Lyle Decatur Plant Cogen,OP,62.0,58.1,62.0,311,BIT,,1989,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
1,IN,Tippecanoe,Tate & Lyle Ingredients Americas Inc,50903,Sagamore Plant Cogeneration,OP,7.4,7.4,7.4,311,BIT,,1984,Tippecanoe+IN,"[-86.11493580000001, 41.2089559]",41.2089559,-86.11493580000001
2,OK,Leflore,AES Shady Point LLC,10671,AES Shady Point LLC,OP,175.0,160.0,160.0,22,BIT,SUB,1990,Leflore+OK,"[-94.981389, 34.896944]",34.896944,-94.981389
3,OK,Leflore,AES Shady Point LLC,10671,AES Shady Point LLC,OP,175.0,160.0,160.0,22,BIT,SUB,1990,Leflore+OK,"[-94.981389, 34.896944]",34.896944,-94.981389
4,NY,Yates,AES Greenidge,2527,AES Greenidge LLC,OP,112.5,107.5,106.3,22,BIT,WDS,1953,Yates+NY,"[-77.1485163, 42.64308459999999]",42.64308459999999,-77.1485163
5,MD,Allegany,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,OP,229.0,180.0,180.0,22,BIT,DFO,1999,Allegany+MD,"[-78.6114999, 39.6255251]",39.6255251,-78.6114999
6,CT,New London,AES Thames LLC,10675,AES Thames,OS,213.9,181.0,181.0,22,BIT,,1989,New London+CT,"[-72.0995209, 41.3556539]",41.3556539,-72.0995209
7,CA,San Bernardino,ACE Cogeneration Co,10002,ACE Cogeneration Facility,OP,108.0,101.2,101.5,22,BIT,PC,1990,San Bernardino+CA,"[-117.2897652, 34.1083449]",34.1083449,-117.2897652
8,IA,Wright,Ag Processing Inc,10223,AG Processing Inc,OP,8.5,8.5,8.5,311,SUB,,1982,Wright+IA,"[-92.5260229, 41.2491766]",41.2491766,-92.5260229
9,PA,Beaver,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,OP,35.0,32.0,31.5,22,BIT,PC,1987,Beaver+PA,"[-80.30478459999999, 40.6953437]",40.6953437,-80.30478459999999
10,PA,Beaver,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,OP,114.0,114.0,120.0,22,BIT,PC,1987,Beaver+PA,"[-80.30478459999999, 40.6953437]",40.6953437,-80.30478459999999
11,HI,Oahu,AES Hawaii Inc,10673,AES Hawaii,OP,203.0,180.0,180.0,22,BIT,WO,1992,Oahu+HI,"[-158.0000565, 21.4389123]",21.4389123,-158.0000565
12,AL,Washington,PowerSouth Energy Cooperative,56,Charles R Lowman,OP,66.0,80.0,80.0,22,BIT,,1969,Washington+AL,"[-88.24611829999999, 31.3422346]",31.3422346,-88.24611829999999
13,AL,Washington,PowerSouth Energy Cooperative,56,Charles R Lowman,OP,236.0,235.0,235.0,22,BIT,,1978,Washington+AL,"[-88.24611829999999, 31.3422346]",31.3422346,-88.24611829999999
14,AL,Washington,PowerSouth Energy Cooperative,56,Charles R Lowman,OP,236.0,235.0,235.0,22,BIT,,1980,Washington+AL,"[-88.24611829999999, 31.3422346]",31.3422346,-88.24611829999999
15,AL,Mobile,Alabama Power Co,3,Barry,OP,153.1,138.0,138.0,22,BIT,WC,1954,Mobile+AL,"[-88.0398912, 30.6953657]",30.6953657,-88.0398912
16,AL,Mobile,Alabama Power Co,3,Barry,OP,153.1,137.0,137.0,22,BIT,WC,1954,Mobile+AL,"[-88.0398912, 30.6953657]",30.6953657,-88.0398912
17,AL,Mobile,Alabama Power Co,3,Barry,OP,272.0,249.0,249.0,22,BIT,WC,1959,Mobile+AL,"[-88.0398912, 30.6953657]",30.6953657,-88.0398912
18,AL,Mobile,Alabama Power Co,3,Barry,OP,403.7,362.0,362.0,22,BIT,WC,1969,Mobile+AL,"[-88.0398912, 30.6953657]",30.6953657,-88.0398912
19,AL,Mobile,Alabama Power Co,3,Barry,OP,788.8,726.5,726.5,22,BIT,WC,1971,Mobile+AL,"[-88.0398912, 30.6953657]",30.6953657,-88.0398912
20,AL,Etowah,Alabama Power Co,7,Gadsden,OP,69.0,64.0,64.0,22,BIT,NG,1949,Etowah+AL,"[-86.05296039999999, 34.0455341]",34.0455341,-86.05296039999999
21,AL,Etowah,Alabama Power Co,7,Gadsden,OP,69.0,66.0,66.0,22,BIT,NG,1949,Etowah+AL,"[-86.05296039999999, 34.0455341]",34.0455341,-86.05296039999999
22,AL,Walker,Alabama Power Co,8,Gorgas,OP,788.8,703.0,703.0,22,BIT,WC,1972,Walker+AL,"[-87.30161319999999, 33.8563605]",33.8563605,-87.30161319999999
23,AL,Walker,Alabama Power Co,8,Gorgas,OP,125.0,103.0,103.0,22,BIT,WC,1951,Walker+AL,"[-87.30161319999999, 33.8563605]",33.8563605,-87.30161319999999
24,AL,Walker,Alabama Power Co,8,Gorgas,OP,125.0,104.0,104.0,22,BIT,WC,1952,Walker+AL,"[-87.30161319999999, 33.8563605]",33.8563605,-87.30161319999999
25,AL,Walker,Alabama Power Co,8,Gorgas,OP,187.5,161.0,161.0,22,BIT,WC,1956,Walker+AL,"[-87.30161319999999, 33.8563605]",33.8563605,-87.30161319999999
26,AL,Walker,Alabama Power Co,8,Gorgas,OP,190.4,170.0,170.0,22,BIT,WC,1958,Walker+AL,"[-87.30161319999999, 33.8563605]",33.8563605,-87.30161319999999
27,AL,Greene,Alabama Power Co,10,Greene County,OP,299.2,254.0,254.0,22,BIT,WC,1965,Greene+AL,"[-87.9334803, 32.9718107]",32.9718107,-87.9334803
28,AL,Greene,Alabama Power Co,10,Greene County,OP,269.2,243.0,243.0,22,BIT,WC,1966,Greene+AL,"[-87.9334803, 32.9718107]",32.9718107,-87.9334803
29,AL,Shelby,Alabama Power Co,26,E C Gaston,OP,272.0,254.0,254.0,22,BIT,WC,1960,Shelby+AL,"[-86.5835907, 33.1086539]",33.1086539,-86.5835907
30,AL,Shelby,Alabama Power Co,26,E C Gaston,OP,272.0,256.0,256.0,22,BIT,WC,1960,Shelby+AL,"[-86.5835907, 33.1086539]",33.1086539,-86.5835907
31,AL,Shelby,Alabama Power Co,26,E C Gaston,OP,272.0,254.0,254.0,22,BIT,WC,1961,Shelby+AL,"[-86.5835907, 33.1086539]",33.1086539,-86.5835907
32,AL,Shelby,Alabama Power Co,26,E C Gaston,OP,952.0,842.0,842.0,22,BIT,WC,1974,Shelby+AL,"[-86.5835907, 33.1086539]",33.1086539,-86.5835907
33,AL,Shelby,Alabama Power Co,26,E C Gaston,OP,244.8,256.0,256.0,22,BIT,,1962,Shelby+AL,"[-86.5835907, 33.1086539]",33.1086539,-86.5835907
34,AL,Jefferson,Alabama Power Co,6002,James H Miller Jr,OP,705.5,672.6,672.6,22,SUB,WC,1978,Jefferson+AL,"[-86.9824288, 33.4914122]",33.4914122,-86.9824288
35,AL,Jefferson,Alabama Power Co,6002,James H Miller Jr,OP,705.5,664.6,664.6,22,SUB,WC,1985,Jefferson+AL,"[-86.9824288, 33.4914122]",33.4914122,-86.9824288
36,AL,Jefferson,Alabama Power Co,6002,James H Miller Jr,OP,705.5,669.0,669.0,22,SUB,WC,1989,Jefferson+AL,"[-86.9824288, 33.4914122]",33.4914122,-86.9824288
37,AL,Jefferson,Alabama Power Co,6002,James H Miller Jr,OP,705.5,669.0,669.0,22,SUB,WC,1991,Jefferson+AL,"[-86.9824288, 33.4914122]",33.4914122,-86.9824288
38,IN,Warrick,AGC Division of APG Inc,6705,Warrick,OP,166.6,148.0,149.0,22,BIT,NG,1960,Warrick+IN,"[-87.2618328, 38.0736703]",38.0736703,-87.2618328
39,IN,Warrick,AGC Division of APG Inc,6705,Warrick,OP,144.0,142.0,141.0,22,BIT,NG,1964,Warrick+IN,"[-87.2618328, 38.0736703]",38.0736703,-87.2618328
40,IN,Warrick,AGC Division of APG Inc,6705,Warrick,OP,144.0,139.0,139.0,22,BIT,NG,1965,Warrick+IN,"[-87.2618328, 38.0736703]",38.0736703,-87.2618328
41,IN,Warrick,AGC Division of APG Inc,6705,Warrick,OP,323.0,301.0,302.5,22,BIT,NG,1970,Warrick+IN,"[-87.2618328, 38.0736703]",38.0736703,-87.2618328
42,CA,San Joaquin,Air Products Energy Enterprises LP,10640,Stockton Cogen,OP,60.0,53.7,53.7,22,BIT,PC,1988,San Joaquin+CA,"[-120.1890447, 36.6066162]",36.6066162,-120.1890447
43,ID,Twin Falls,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,OP,1.5,1.2,1.2,311,BIT,NG,1948,Twin Falls+ID,"[-114.4608711, 42.5629668]",42.5629668,-114.4608711
44,ID,Twin Falls,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,OP,2.5,2.3,2.3,311,BIT,NG,1948,Twin Falls+ID,"[-114.4608711, 42.5629668]",42.5629668,-114.4608711
45,ID,Twin Falls,The Amalgamated Sugar Co,10504,Amalgamated Sugar Twin Falls,OP,6.2,5.0,5.0,311,BIT,,1994,Twin Falls+ID,"[-114.4608711, 42.5629668]",42.5629668,-114.4608711
46,ND,Traill,American Crystal Sugar Co,54210,American Crystal Sugar Hillsboro,OP,13.3,13.3,13.3,311,SUB,,1990,Traill+ND,"[-97.1256368, 47.4636775]",47.4636775,-97.1256368
47,MN,Clay,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,OP,3.0,3.0,3.0,311,SUB,,1948,Clay+MN,"[-96.42575889999999, 46.878186]",46.878186,-96.42575889999999
48,MN,Clay,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,OP,2.0,2.0,2.0,311,SUB,,1961,Clay+MN,"[-96.42575889999999, 46.878186]",46.878186,-96.42575889999999
49,MN,Polk,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,OP,3.5,3.5,3.5,311,SUB,,1954,Polk+MN,"[-96.4170534, 47.6635085]",47.6635085,-96.4170534
50,MN,Polk,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,OP,3.0,3.0,3.0,311,SUB,,1975,Polk+MN,"[-96.4170534, 47.6635085]",47.6635085,-96.4170534
51,ND,Pembina,American Crystal Sugar Co,54213,American Crystal Sugar Drayton,OP,6.0,6.0,6.0,311,SUB,,1965,Pembina+ND,"[-97.2436761, 48.9663765]",48.9663765,-97.2436761
52,MN,Polk,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,OP,2.5,2.5,2.5,311,SUB,,1990,Polk+MN,"[-96.4170534, 47.6635085]",47.6635085,-96.4170534
53,MN,Polk,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,OP,5.0,5.0,5.0,311,SUB,,1990,Polk+MN,"[-96.4170534, 47.6635085]",47.6635085,-96.4170534
54,IL,Montgomery,Ameren Energy Generating Co,861,Coffeen,OP,388.9,330.0,335.0,22,SUB,BIT,1965,Montgomery+IL,"[-88.3459048, 41.730585]",41.730585,-88.3459048
55,IL,Montgomery,Ameren Energy Generating Co,861,Coffeen,OP,616.5,565.0,580.0,22,SUB,BIT,1972,Montgomery+IL,"[-88.3459048, 41.730585]",41.730585,-88.3459048
56,IL,Jasper,Ameren Energy Generating Co,6017,Newton,OP,617.4,598.0,610.0,22,SUB,BIT,1977,Jasper+IL,"[-88.0900762, 39.0554965]",39.0554965,-88.0900762
57,IL,Jasper,Ameren Energy Generating Co,6017,Newton,OP,617.4,599.0,604.0,22,SUB,BIT,1982,Jasper+IL,"[-88.0900762, 39.0554965]",39.0554965,-88.0900762
58,IA,Story,City of Ames - (IA),1122,Ames Electric Services Power Plant,OP,37.5,35.5,35.5,22,SUB,OBS,1968,Story+IA,"[-93.5003454, 42.1040438]",42.1040438,-93.5003454
59,IA,Story,City of Ames - (IA),1122,Ames Electric Services Power Plant,OP,71.3,66.2,66.2,22,SUB,OBS,1982,Story+IA,"[-93.5003454, 42.1040438]",42.1040438,-93.5003454
60,WV,Marion,American Bituminous Power LP,10151,Grant Town Power Plant,OP,95.7,80.0,80.0,22,WC,NG,1992,Marion+WV,"[-80.23213129999999, 39.5288627]",39.5288627,-80.23213129999999
61,MO,SAINT LOUIS CITY,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,OP,11.0,11.0,11.0,311,BIT,NG,1947,SAINT LOUIS CITY+MO,"[-90.19940419999999, 38.6270025]",38.6270025,-90.19940419999999
62,MO,SAINT LOUIS CITY,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,OP,11.0,11.0,11.0,311,BIT,NG,1948,SAINT LOUIS CITY+MO,"[-90.19940419999999, 38.6270025]",38.6270025,-90.19940419999999
63,MO,SAINT LOUIS CITY,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,OP,4.1,4.1,4.1,311,BIT,NG,1939,SAINT LOUIS CITY+MO,"[-90.19940419999999, 38.6270025]",38.6270025,-90.19940419999999
64,VA,Russell,Appalachian Power Co,3775,Clinch River,OP,237.5,230.0,235.0,22,BIT,,1958,Russell+VA,"[-82.08429009999999, 36.9904385]",36.9904385,-82.08429009999999
65,VA,Russell,Appalachian Power Co,3775,Clinch River,OP,237.5,230.0,235.0,22,BIT,,1958,Russell+VA,"[-82.08429009999999, 36.9904385]",36.9904385,-82.08429009999999
66,VA,Russell,Appalachian Power Co,3775,Clinch River,OP,237.5,230.0,235.0,22,BIT,,1961,Russell+VA,"[-82.08429009999999, 36.9904385]",36.9904385,-82.08429009999999
67,VA,Giles,Appalachian Power Co,3776,Glen Lyn,OP,100.0,90.0,95.0,22,BIT,,1944,Giles+VA,"[-80.6770787, 37.3132885]",37.3132885,-80.6770787
