Fuel Type Code,Station Name,Street Address,City,State,ZIP,Station Phone,lat,lon,Date Last Confirmed,Hydrogen Status Link,NG Vehicle Class,E85 Blender Pump,EV Connector Types
LPG,Irish Propane,70 Katherine St,Buffalo,NY,14210,716-852-3335,42.8594,-78.858933,2014-04-04,,,,
ELEC,Latitudes,2401 Highway 528,Rio Rancho,NM,87124,505-369-7777,35.21843,-106.663,2014-02-05,,,,J1772
ELEC,American Bush - Public Access,2630 S 300 W,Salt Lake City,UT,84115,801-467-0700,40.7144199,-111.900105,2013-09-25,,,,J1772
ELEC,CITY OF SEATTLE,600 Pine St,Seattle,WA,98101,888-758-4389,47.6125141,-122.3354092,2014-08-11,,,,J1772
ELEC,Two Embarcadero Center,Two Embarcadero Center A Level Parking,San Franciso,CA,94111,800-663-5633,37.7950272,-122.3985003,2014-08-11,,,,J1772
ELEC,PARKWAY,721 Arch St,Philadelphia,PA,19106,888-758-4389,39.9528732,-75.1528625,2014-08-11,,,,J1772
ELEC,General Electric - Dallas Office,2508 Highlander Way,Carrollton,TX,75006,,32.9838,-96.845317,2014-04-04,,,,J1772
ELEC,Municipal Lot,38767 SE River St,Snoqualmie,WA,98065,888-998-2546,47.527427,-121.823532,2014-08-11,,,,J1772
LPG,U-Haul,15173 Brookpark Rd,Brookpark,OH,44142,216-676-4770,41.418059,-81.802714,2014-03-06,,,,
ELEC,GATEWAY TECH B,380 McCanna Pkwy,Burlington,WI,53105,888-758-4389,42.6727905,-88.2556,2014-08-11,,,,NEMA520 J1772
ELEC,NATIONAL GRID,104-160 Blackstone St,Providence,RI,2905,888-758-4389,41.8096008,-71.4088529,2014-08-11,,,,J1772
ELEC,San Francisco General Hospital Garage,2500 24th St,San Francisco,CA,94110,415-206-8770,37.753135,-122.404374,2012-12-31,,,,J1772
ELEC,Amazon - Obidos/Rufus,550 Terry Ave N,Seattle,WA,98109,888-998-2546,47.62395,-122.33707799999999,2014-08-11,,,,J1772
ELEC,Classic Cars Nissan,1513 Route 38,Hainesport,NJ,8036,609-267-2886,39.98225,-74.808612,2014-04-21,,,,J1772
LPG,U-Haul,2722 N Watkins,Memphis,TN,38127,901-353-2051,35.199728,-90.007121,2014-08-05,,,,
ELEC,"Walgreens - Clinton, UT #2519",1962 W 1800 N,Clinton,UT,84041,800-663-5633,41.1398688,-112.0632572,2014-08-11,,,,J1772
ELEC,MERCER ISLAND,8236 SE 24TH STREET,Mercer Island,WA,98040,888-758-4389,47.5900154,-122.2285461,2014-08-11,,,,NEMA520 J1772
ELEC,NATIONAL GRID,997 Loudon Rd,Cohoes,NY,12047,888-758-4389,42.770945,-73.753012,2014-08-11,,,,J1772
LPG,AmeriGas,1706 Fairgrounds Dr,Mountain Home,AR,72653,870-425-2121,36.3218571,-92.3838926,2014-04-04,,,,
BD,East Side Travel Plaza,607 Gateway Dr,East Grand Forks,MN,56721,218-773-4345,47.9375198,-97.0145484,2014-03-06,,,,
ELEC,AUTO CLUB GROUP,783 S Orlando Ave,Winter Park,FL,32789,888-758-4389,28.5909042,-81.3660965,2014-08-11,,,,NEMA520 J1772
CNG,Greater Richmond Transit Co,301 E Belt Blvd,Richmond,VA,23224,800-920-1166,37.50673099999999,-77.47908,2014-08-05,,HD,,
ELEC,Ehrlich Nissan,2625 25th Ave,Greeley,CO,80634,970-353-5333,40.3946842,-104.7220636,2014-04-21,,,,J1772 CHADEMO
ELEC,Outpost Solar - Mines Road,1905 Mines Road,Pulaski,TN,38478,888-998-2546,35.210144,-87.054365,2014-08-11,,,,J1772
CNG,SDG&E - Northern (Carlsbad),602 Cannon Rd,Carlsbad,CA,92008,213-244-5681,33.1336848,-117.3321232,2014-05-02,,LD,,
ELEC,CITYZEPHYRHILLS,5335 Eighth St,Zephyrhills,FL,33542,888-758-4389,28.2352886,-82.1812439,2014-08-11,,,,NEMA520 J1772
ELEC,Atlantic Nissan,205 Sunrise Hwy,West Islip,NY,11795,631-587-0700,40.720647,-73.304128,2014-04-21,,,,J1772
LPG,U-Haul,157 E 3rd St,Williamsport,PA,17701,570-326-5161,41.242703,-76.998402,2014-08-05,,,,
ELEC,Dan Wilder Nissan,97 Deer Park Rd,Port Angeles,WA,98362,360-452-9268,48.102884,-123.342597,2014-04-21,,,,J1772
LPG,Sierra Propane,447 E Main St,Springerville,AZ,85938,928-333-5550,34.1328336,-109.2809265,2013-02-28,,,,
ELEC,Port of San Diego-Imperial Beach Parking Lot,"3165 Pacific Highway, Palm Avenue & Seacoast Drive",Imperial Beach,CA,91932,888-998-2546,32.5839,-117.131718,2014-08-11,,,,J1772
E85,Western Convenience Store,2387 W 72nd Ave,Denver,CO,80221,303-429-5754,39.8276368,-105.0152257,2013-10-31,,,FALSE,
E85,Kroger #587,3939 Frankford Rd,Dallas,TX,75287,972-662-1000,32.9982319,-96.8460873,2014-03-06,,,FALSE,
ELEC,THE BOEING CO,2060 E.Imperial Highway,El Segundo,CA,90245,888-758-4389,33.9283012,-118.3896499,2014-08-11,,,,J1772
ELEC,Kroger Store #518,5665 E. Mockingbird,Dallas,TX,75206,888-998-2546,32.837337,-96.770536,2014-08-11,,,,J1772
E85,Marathon,323 Sagamore Pkwy,Lafayette,IN,47904,765-447-3827,40.420134,-86.857658,2014-07-02,,,FALSE,
E85,Mobil On the Run,1710 N Bishop Ave,Rolla,MO,65401,573-364-5404,37.9583377,-91.7728715,2014-06-03,,,FALSE,
E85,Stop & Shop,312 1st Ave,Shakopee,MN,55379,952-496-3686,44.7981513,-93.5300144,2013-12-31,,,FALSE,
ELEC,15 LLC,"3575 Piedmont Road, Building 15",Atlanta,GA,30305,888-998-2546,33.852522,-84.380658,2014-08-11,,,,J1772
ELEC,Waikiki Sand Villa,2375 Ala Wai Blvd,Honolulu,HI,96815,808-922-4744,21.278842,-157.823158,2014-05-02,,,,J1772
E85,Holbrook T & C Citgo,5665 Sunrise Hwy,Holbrook,NY,11741,631-567-0576,40.7683139,-73.071263,2014-04-04,,,FALSE,
E85,Watonwan Farmers Service Co,702 E 14th St,Blue Earth,MN,56013,507-526-2100,43.6304107,-94.0939487,,,,FALSE,
E85,Thorntons #307,110 W Devon Ave,Wood Dale,IL,60191,630-616-0993,41.992429,-87.980958,2013-10-31,,,FALSE,
ELEC,Loyola University - New Orleans,7214 Saint Charles Ave,New Orleans,LA,70115,,29.9371899,-90.1268944,2014-04-21,,,,J1772
CNG,Con Edison - College Point Service Center,124-15 31st Ave,Queens,NY,11354,718-321-4608,40.7678,-73.845925,2014-04-04,,MD,,
ELEC,RENAISSANCE TWR,1201 Pacific Ave,Dallas,TX,75223,888-758-4389,32.7819816,-96.8019686,2014-08-11,,,,J1772
ELEC,Piolax,139 Etowah Industrial Court,Canton,GA,30114,888-998-2546,34.2455859,-84.471847,2014-08-11,,,,J1772
ELEC,Court Street Ford,558 William Latham Sr Dr,Bourbonnais,IL,60914,815-939-9600,41.161794,-87.885165,2013-12-31,,,,J1772
BD,Piedmont Biofuels - Carrboro Public Works,100 Public Works Dr,Carrboro,NC,27510,919-321-8260,35.939414,-79.056994,2014-07-02,,,,
