"Project Name ","Status ","Developer ","City/County ","State ","Online Date ","Capacity ","PV/CSP"
"Adelanto ","Operating ","SolarWorld ","Adelanto ","CA ","7/1/2012 ","10 ","PV"
"Adobe Solar ","Operating ","SunEdison ","Kern County ","CA ",,"20 ","PV"
"Aerojet Solar Facility ","Operating ","Solar Power Inc. ","Sacramento ","CA ","6/1/2010 ","5 ","PV"
"Agua Caliente ","Operating ","First Solar ","Yuma County ","AZ ","12/1/2013 ","28 ","PV"
"Agua Caliente ","Operating ","First Solar ","Yuma County ","AZ ","7/1/2012 ","100 ","PV"
"Agua Caliente ","Operating ","First Solar ","Yuma County ","AZ ","4/1/2012 ","70 ","PV"
"Agua Caliente ","Operating ","First Solar ","Yuma County ","AZ ","9/1/2012 ","50 ","PV"
"Agua Caliente ","Operating ","First Solar ","Yuma County ","AZ ","1/19/2012 ","30 ","PV"
"Agua Caliente ","Operating ","First Solar ","Yuma County ","AZ ","Q2‐2013 ","12 ","PV"
"ua Pennsylvania Pickering Solar Fa ","Operating ",,"Phoenixville ","PA ","4/1/2012 ","2 ","PV"
"Air Force Academy ","Operating ","SunPower ","Colorado springs ","CO ","6/1/2011 ","5 ","PV"
"Ajo ","Operating ","Recurrent Energy ","Ajo ","AZ ","9/1/2011 ","5 ","PV"
"Alamo 1 Solar Farm ","Operating ","OCI Solar Power ","San Antonio ","TX ","12/1/2013 ","41 ","PV"
"Alamogordo Solar Energy Center ","Operating ","First Solar ","Alamogordo ","NM ","10/1/2011 ","5 ","PV"
"Alamosa Photovoltaic Solar Plant ","Operating ","SunEdison ","Alamosa ","CO ","12/1/2007 ","7 ","PV"
"Alamosa Solar Generating Projec ","Operating ","Cogentrix ","Alamosa ","CO ","5/1/2012 ","30 ","PV"
"Albuquerque Solar Center ","Operating ","First Solar ","Albuquerque ","NM ","4/1/2011 ","2 ","PV"
"Alcatel‐Lucent Solar Farm ","Operating ","Con Edison ","Murray Hill ","NJ ","Q2 2011 ","1 ","PV"
"Alpaugh ","Operating ","GCL‐Poly/Solar Project Solutions ","Tulare County ","CA ","12/1/2012 ","50 ","PV"
"Alpaugh North ","Operating ","GCL‐Poly/Solar Project Solutions ","Tulare County ","CA ","12/1/2012 ","20 ","PV"
"Alpine Solar Project ","Operating ","First Solar ","Lancaster ","CA ","2/1/2013 ","66 ","PV"
"AM Best ","Operating ","Strata Solar ","Wayne ","NC ","6/1/2013 ","7 ","PV"
"Apex ","Operating ","SunEdison ","Las Vegas ","NV ","Q3 2012 ","20 ","PV"
"Apple Data Center Solar Farm ","Operating ","SunPower ","Maiden ","NC ","12/1/2012 ","20 ","PV"
"Apple Data Center‐Conover ","Operating ","SunPower ","Conover ","NC ",,"20 ","PV"
"Ararat Rock Solar ","Operating ","o2 energies ","Mt.Airy/Surry ","NC ","9/1/2011 ","4 ","PV"
"Arba Solar ","Operating ","Community Energy ","Snow Hill ","NC ","8/1/2013 ","2 ","PV"
"Arizona Western College ","Operating ","Main Street Power ","Yuma ","AZ ","2011 ","5 ","PV"
"Arlington Valley Solar Project ","Operating ","LS Power ","Arlington ","AZ ",,"125 ","PV"
"Arlington Valley Solar Project II ","Operating ","LS Power ","Arlington ","AZ ","11/1/2013 ","125 ","PV"
"Arndt Farm Project ","Operating ","Strata Solar ","Clines ","NC ","11/1/2012 ","5 ","PV"
"AstroSol Tech Park AZ ","Operating ","AstroSol ","Tucson ","AZ ","5/1/2012 ","5 ","PV"
"ASU Solar Array ","Operating ","SunPower ","Mesa ","AZ ",,"1 ","PV"
"Atlantic Coast Feezers Solar Farm ","Operating ","KDC Solar ","Vineland ","NJ ","5/1/2012 ","2 ","PV"
"Atwell Island ","Operating ","Solar Project Solutions ","Tulare County ","CA ","3/1/2013 ","20 ","PV"
"Austin Energy PV Project ","Operating ","SunEdison ","Webberville ","TX ","12/1/2011 ","30 ","PV"
"AV Solar Ranch One ","Operating ","First Solar ","Antelope Valley ","CA ","1/1/2013 ","115 ","PV"
"Avenal Park Solar Project ","Operating ","Eurus ","Avenal ","CA ","8/11/2011 ","6 ","PV"
