,0,1,annualAverage
0,-86.49965460000001,32.5791817,4.46
1,-87.77633329999998,30.6010744,4.57
2,-85.35496499999998,31.817289600000002,4.58
3,-87.14228949999998,32.956279800000004,4.42
4,-86.49965460000001,34.0145152,4.28
5,-85.7256372,32.0573536,4.56
6,-88.2219652,32.089590799999996,4.52
7,-85.80766,33.7701576,4.31
8,-85.35496499999998,32.9028048,4.48
9,-87.9728143,34.7570342,4.3
10,-86.6611083,32.944392,4.42
11,-88.24611829999998,32.0716631,4.49
12,-87.77633329999998,31.7002461,4.52
13,-86.5997096,33.7026013,4.39
14,-85.52002399999998,33.6261707,4.33
15,-86.0121573,31.475117200000003,4.57
16,-87.89424509999998,34.7117567,4.27
17,-86.9824288,31.501571000000002,4.51
18,-86.21969370000001,32.8897772,4.42
19,-86.49965460000001,31.306643800000003,4.55
20,-86.3376761,31.667187199999997,4.54
21,-86.84361240000001,34.1748208,4.28
22,-85.684578,31.4645298,4.58
23,-87.14228949999998,32.2332138,4.52
24,-85.684578,34.521139700000006,4.25
25,-86.3149712,32.5387448,4.49
26,-87.14228949999998,31.1394734,4.49
27,-86.05296039999998,34.045534100000005,4.28
28,-87.8308522,33.6845539,4.36
29,-85.80245620000001,32.4784706,4.29
30,-85.86382420000001,31.0329572,4.61
31,-87.9334803,32.9718107,4.5
32,-87.61863790000001,32.785910200000004,4.52
33,-85.18940450000001,31.4469377,4.61
34,-87.2580686,34.1414925,4.62
35,-87.89444350000001,31.5090521,4.17
36,-86.9824288,33.4914122,4.31
37,-88.0900762,33.692364899999994,4.38
38,-87.658113,34.8840876,4.25
39,-87.30161319999998,34.567428,4.26
40,-85.39627689999998,32.5888702,4.52
41,-86.9423801,34.78000720000001,4.24
42,-86.6611083,32.221464000000005,4.52
43,-85.684578,32.3731182,4.55
44,-86.74833180000002,34.6992579,4.19
45,-87.77633329999998,32.2459085,4.53
46,-87.3191655,32.6323536,4.32
47,-86.3376761,34.3652297,4.22
48,-88.0398912,30.6953657,4.55
49,-87.460397,31.511906800000002,4.51
50,-86.2999689,32.366805199999995,4.55
51,-86.86218269999998,34.4240875,4.24
52,-87.30161319999998,32.598888,4.51
53,-88.0900762,33.3339954,4.44
54,-86.0121573,31.8395163,4.55
55,-86.91124509999999,32.8996333,4.42
56,-85.18940450000001,32.355249699999995,4.55
57,-86.3376761,33.6530112,4.32
58,-86.5835907,33.1086539,4.36
59,-88.24611829999998,32.6155551,4.5
60,-86.1058048,33.4359416,4.35
61,-85.84862360000002,32.9201244,4.47
62,-87.56917349999998,33.2098407,4.39
63,-87.30161319999998,33.8563605,4.33
